iter	Passed	Remaining
1154	8869	2649
1155	8876	2641
1156	8882	2633
1157	8889	2625
1158	8896	2617
1159	8902	2609
1160	8909	2601
1161	8915	2593
1162	8923	2585
1163	8929	2577
1164	8935	2569
1165	8942	2561
1166	8949	2553
1167	8956	2545
1168	8963	2537
1169	8970	2530
1170	8976	2522
1171	8983	2514
1172	8990	2506
1173	8997	2498
1174	9004	2490
1175	9011	2482
1176	9017	2474
1177	9025	2466
1178	9031	2459
1179	9038	2451
1180	9046	2443
1181	9053	2435
1182	9059	2427
1183	9066	2419
1184	9073	2411
1185	9079	2403
1186	9086	2396
1187	9094	2388
1188	9100	2380
1189	9108	2372
1190	9114	2364
1191	9121	2356
1192	9128	2349
1193	9135	2341
1194	9142	2333
1195	9149	2325
1196	9156	2317
1197	9162	2309
1198	9169	2301
1199	9176	2294
1200	9182	2286
1201	9189	2278
1202	9196	2270
1203	9203	2262
1204	9210	2254
1205	9217	2247
1206	9224	2239
1207	9230	2231
1208	9237	2223
1209	9244	2215
1210	9251	2207
1211	9258	2199
1212	9264	2191
1213	9271	2184
1214	9278	2176
1215	9285	2168
1216	9292	2160
1217	9300	2153
1218	9308	2145
1219	9317	2138
1220	9325	2130
1221	9333	2123
1222	9341	2115
1223	9349	2108
1224	9355	2100
1225	9362	2092
1226	9369	2084
1227	9376	2076
1228	9383	2069
1229	9390	2061
1230	9397	2053
1231	9404	2045
1232	9410	2037
1233	9417	2029
1234	9423	2022
1235	9430	2014
1236	9437	2006
1237	9444	1998
1238	9452	1991
1239	9460	1983
1240	9469	1976
1241	9476	1968
1242	9484	1960
1243	9492	1953
1244	9499	1945
1245	9506	1937
1246	9512	1930
1247	9519	1922
1248	9527	1914
1249	9534	1906
1250	9540	1898
1251	9547	1891
1252	9553	1883
1253	9560	1875
1254	9567	1867
1255	9574	1860
1256	9582	1852
1257	9588	1844
1258	9596	1836
1259	9603	1829
1260	9611	1821
1261	9617	1813
1262	9624	1806
1263	9632	1798
1264	9638	1790
1265	9646	1782
1266	9653	1775
1267	9660	1767
1268	9667	1759
1269	9673	1751
1270	9680	1744
1271	9687	1736
1272	9694	1728
1273	9701	1720
1274	9708	1713
1275	9715	1705
1276	9721	1697
1277	9728	1689
1278	9735	1682
1279	9743	1674
1280	9751	1667
1281	9759	1659
1282	9767	1652
1283	9776	1644
1284	9785	1637
1285	9794	1629
1286	9801	1622
1287	9808	1614
1288	9815	1606
1289	9822	1598
1290	9829	1591
1291	9835	1583
1292	9842	1575
1293	9849	1568
1294	9856	1560
1295	9862	1552
1296	9869	1544
1297	9876	1537
1298	9884	1529
1299	9890	1521
1300	9897	1513
1301	9903	1506
1302	9911	1498
1303	9917	1490
1304	9924	1482
1305	9931	1475
1306	9938	1467
1307	9945	1459
1308	9952	1452
1309	9959	1444
1310	9966	1436
1311	9973	1429
1312	9980	1421
1313	9987	1413
1314	9994	1406
1315	10000	1398
1316	10007	1390
1317	10014	1382
1318	10022	1375
1319	10028	1367
1320	10035	1359
1321	10042	1352
1322	10049	1344
1323	10056	1336
1324	10063	1329
1325	10070	1321
1326	10076	1313
1327	10083	1306
1328	10091	1298
1329	10097	1290
1330	10104	1282
1331	10111	1275
1332	10117	1267
1333	10124	1259
1334	10131	1252
1335	10138	1244
1336	10145	1236
1337	10151	1229
1338	10158	1221
1339	10164	1213
1340	10171	1206
1341	10178	1198
1342	10185	1190
1343	10192	1183
1344	10198	1175
1345	10205	1167
1346	10211	1159
1347	10218	1152
1348	10225	1144
1349	10232	1136
1350	10239	1129
1351	10245	1121
1352	10253	1113
1353	10259	1106
1354	10266	1098
1355	10273	1090
1356	10280	1083
1357	10287	1075
1358	10294	1068
1359	10301	1060
1360	10308	1052
1361	10315	1045
1362	10321	1037
1363	10329	1029
1364	10335	1022
1365	10342	1014
1366	10349	1006
1367	10356	999
1368	10363	991
1369	10370	984
1370	10377	976
1371	10384	968
1372	10391	961
1373	10398	953
1374	10405	945
1375	10412	938
1376	10419	930
1377	10426	923
1378	10433	915
1379	10440	907
1380	10447	900
1381	10453	892
1382	10460	884
1383	10467	877
1384	10473	869
1385	10481	862
1386	10488	854
1387	10495	846
1388	10502	839
1389	10515	832
1390	10536	825
1391	10555	818
1392	10576	812
1393	10595	805
1394	10616	799
1395	10637	792
1396	10657	785
1397	10675	778
1398	10694	772
1399	10710	765
1400	10726	758
1401	10743	751
1402	10763	744
1403	10782	737
1404	10801	730
1405	10820	723
1406	10840	716
1407	10858	709
1408	10878	702
1409	10897	695
1410	10931	689
1411	10977	684
1412	11008	677
1413	11028	670
1414	11044	663
1415	11064	656
1416	11144	652
1417	11166	645
1418	11185	638
1419	11201	631
1420	11240	624
1421	11288	619
1422	11308	611
1423	11327	604
1424	11343	597
1425	11370	590
1426	11421	584
1427	11452	577
1428	11471	569
1429	11487	562
1430	11502	554
1431	11569	549
1432	11607	542
1433	11627	535
1434	11643	527
1435	11661	519
1436	11677	511
1437	11693	504
1438	11709	496
1439	11731	488
1440	11754	481
1441	11779	473
1442	11803	466
1443	11822	458
1444	11857	451
1445	11875	443
1446	11892	435
1447	11907	427
1448	11923	419
1449	11940	411
1450	11954	403
1451	11970	395
1452	11987	387
1453	12008	379
1454	12028	372
1455	12045	364
1456	12063	356
1457	12085	348
1458	12109	340
1459	12132	332
1460	12155	324
1461	12184	316
1462	12213	308
1463	12243	301
1464	12263	292
1465	12280	284
1466	12298	276
1467	12342	269
1468	12358	260
1469	12374	252
1470	12391	244
1471	12409	236
1472	12424	227
1473	12440	219
1474	12457	211
1475	12480	202
1476	12505	194
1477	12529	186
1478	12554	178
